,USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
20435,15367598602564300,14,3,287.73,2,2,2,222
20436,15367600935504500,14,3,276.0,2,2,2,222
20440,15367608536382300,14,3,378.86,2,2,1,221
20451,15367631192482200,14,4,261.0,2,1,2,212
20459,15367649598509100,9,4,526.0,1,1,1,111
20466,15367664338716700,14,10,1500.0,2,1,1,211
20469,15367670726793400,5,4,270.0,1,1,2,112
20479,15367722496353000,14,3,317.0,2,2,2,222
20480,15367723852571200,14,3,542.29,2,2,1,221
20484,15367728657858200,14,3,326.66,2,2,2,222
20497,15367762018967700,14,4,476.0,2,1,1,211
20507,15367787203433700,14,5,440.0,2,1,1,211
20508,15367789716699000,14,3,371.62,2,2,1,221
20509,15367800266244300,6,10,1603.0,1,1,1,111
20521,15367820134059400,14,3,204.1,2,2,2,222
20522,15367822434945600,14,6,667.02,2,1,1,211
20528,15367835871984200,14,3,185.0,2,2,2,222
20530,15367845188087300,2,4,450.24,1,1,1,111
20535,15367853111804500,12,4,496.0,1,1,1,111
20538,15367853962987500,14,4,503.12,2,1,1,211
20539,15367855116252800,14,4,542.52,2,1,1,211
20540,15367855286725200,13,3,266.0,2,2,2,222
20541,15367855337629700,14,4,376.0,2,1,1,211
20544,15367861770213000,13,3,307.0,2,2,2,222
20548,15367877022341400,14,3,396.98,2,2,1,221
20551,15367883390675000,14,6,484.0,2,1,1,211
20552,15367883875227900,14,3,427.0,2,2,1,221
20560,15367898102837100,13,3,464.06,2,2,1,221
20562,15367903391377300,13,3,439.24,2,2,1,221
20563,15367911563445400,14,10,1473.5,2,1,1,211
20564,15367911889698100,13,8,1705.76,2,1,1,211
20565,15367912898644800,14,12,1738.0,2,1,1,211
20567,15367919097146500,14,3,276.0,2,2,2,222
20580,15367950107209400,14,4,455.0,2,1,1,211
20587,15367962639216400,1,19,1612.0,1,1,1,111
20589,15367968610554600,13,3,496.75,2,2,1,221
20590,15367971511515800,13,12,1058.0,2,1,1,211
20594,15367978903624700,13,3,319.02,2,2,2,222
20600,15368005757859000,2,17,1413.0,1,1,1,111
20607,15368021051617000,2,8,443.0,1,1,1,111
20609,15368022641651600,13,3,335.16,2,2,1,221
20618,15368035425117400,13,5,695.0,2,1,1,211
20619,15368036612729900,13,3,467.0,2,2,1,221
20626,15368047758942200,13,6,453.0,2,1,1,211
20634,15368073318474600,13,3,350.66,2,2,1,221
20646,15368102617856300,13,8,1050.0,2,1,1,211
20652,15368111940174700,13,9,1584.76,2,1,1,211
20657,15368124527376900,13,8,548.0,2,1,1,211
20660,15368128413578400,13,3,452.0,2,2,1,221
20666,15368134916253300,13,4,934.88,2,1,1,211
20667,15368136640801900,13,3,609.36,2,2,1,221
20669,15368146655564200,7,4,851.06,1,1,1,111
20672,15368163350785700,13,3,542.0,2,2,1,221
20674,15368164530233800,13,3,548.52,2,2,1,221
20676,15368181843502900,13,5,685.0,2,1,1,211
20683,15368313423907000,13,3,518.8,2,2,1,221
20693,15368411273905900,12,4,366.0,1,1,1,111
20694,15368416405336700,13,3,414.62,2,2,1,221
20695,15368417011377800,13,3,318.65,2,2,2,222
20699,15368425664828600,13,3,289.6,2,2,2,222
20704,15368436633822400,13,3,377.0,2,2,1,221
20706,15368442063607200,13,13,1662.0,2,1,1,211
20708,15368446688941100,13,6,633.0,2,1,1,211
20712,15368454265347400,13,5,365.0,2,1,1,211
20713,15368457692262300,6,5,749.4200000000002,1,1,1,111
20714,15368461170553200,13,3,297.0,2,2,2,222
20715,15368461420019500,13,3,266.0,2,2,2,222
20717,15368463977195700,13,3,276.0,2,2,2,222
20723,15368482656548100,1,7,895.0,1,1,1,111
20724,15368483224658800,2,5,305.0,1,1,2,112
20725,15368483775656900,13,3,272.0,2,2,2,222
20726,15368484123191700,13,3,539.52,2,2,1,221
20727,15368484152753400,13,7,619.0,2,1,1,211
20728,15368487640808400,3,5,520.0,1,1,1,111
20730,15368489215562100,13,5,395.0,2,1,1,211
20732,15368489526912700,13,5,649.5999999999998,2,1,1,211
20733,15368490623953100,13,3,352.0,2,2,1,221
20734,15368492298212400,13,5,532.0,2,1,1,211
20736,15368493005183100,7,5,710.0,1,1,1,111
20739,15368498605136100,13,6,572.0,2,1,1,211
20742,15368505671639500,13,4,294.32,2,1,2,212
20743,15368505759453200,13,4,421.0,2,1,1,211
20746,15368509146205800,13,5,443.0,2,1,1,211
20753,15368521018536100,13,5,728.45,2,1,1,211
20757,15368530125615200,13,3,309.29,2,2,2,222
20759,15368534156202400,12,16,1958.2,1,1,1,111
20761,15368536765668600,4,3,297.0,1,2,2,122
20764,15368540232236800,3,3,374.0,1,2,1,121
20766,15368540773558800,2,4,261.48,1,1,2,112
20773,15368549855789300,13,4,358.8,2,1,1,211
20778,15368558520919700,13,5,454.0,2,1,1,211
20780,15368564477479400,13,13,1843.93,2,1,1,211
20781,15368567391461500,13,3,340.0,2,2,1,221
20782,15368568026341100,13,4,343.44,2,1,1,211
20784,15368573556608100,13,3,246.0,2,2,2,222
20786,15368574539058300,9,4,696.0,1,1,1,111
20791,15368589287262700,13,4,456.0,2,1,1,211
20793,15368593723164500,13,3,364.12,2,2,1,221
20795,15368594396848500,7,5,311.0,1,1,2,112
20796,15368597747681700,13,4,359.56,2,1,1,211
20799,15368598599296300,6,13,2181.62,1,1,1,111
20800,15368600245028700,13,3,317.67,2,2,2,222
20801,15368600977969100,13,3,395.45,2,2,1,221
20804,15368603807528000,13,8,1042.0,2,1,1,211
20805,15368604211956400,13,6,695.6400000000001,2,1,1,211
20808,15368609601854400,13,4,524.32,2,1,1,211
20809,15368610626561600,13,3,296.0,2,2,2,222
20810,15368611640987400,4,4,365.0,1,1,1,111
20812,15368614762785200,13,5,513.0,2,1,1,211
20820,15368624872231300,13,3,276.0,2,2,2,222
20821,15368626870008900,13,4,372.68,2,1,1,211
20823,15368629937298500,13,4,310.96,2,1,2,212
20825,15368640099183000,13,5,427.15,2,1,1,211
20843,15368674838681800,13,3,346.0,2,2,1,221
20846,15368680437997500,13,3,660.63,2,2,1,221
20847,15368681082408200,13,3,256.0,2,2,2,222
20859,15368699320453800,13,3,191.85,2,2,2,222
20861,15368701899431100,13,17,4201.73,2,1,1,211
20862,15368702346323400,13,19,1693.0,2,1,1,211
20863,15368712198861000,13,4,539.0,2,1,1,211
20864,15368712491193700,13,4,376.0,2,1,1,211
20866,15368721889911600,13,3,257.0,2,2,2,222
20877,15368742508054400,13,4,485.0,2,1,1,211
20879,15368754861848800,13,5,445.5,2,1,1,211
20882,15368758445002500,13,3,359.5800000000001,2,2,1,221
20883,15368759956528200,13,4,596.0,2,1,1,211
20888,15368769243977800,13,3,287.0,2,2,2,222
20889,15368770310138100,13,3,306.98,2,2,2,222
20893,15368772291592800,3,5,332.56,1,1,1,111
20897,15368782896691800,13,3,427.0,2,2,1,221
20898,15368783347802100,13,5,805.85,2,1,1,211
20900,15368784294235200,12,3,507.0,1,2,1,121
20906,15368796898161000,13,3,504.57,2,2,1,221
20908,15368808187123900,13,4,426.8,2,1,1,211
20909,15368809066897600,13,3,446.0,2,2,1,221
20914,15368818056908200,13,3,517.3100000000002,2,2,1,221
20917,15368825584454600,13,4,419.88,2,1,1,211
20918,15368830247883300,12,3,313.36,1,2,2,122
20921,15368842058079700,2,4,254.0,1,1,2,112
20927,15368869107064400,12,3,417.0,1,2,1,121
20940,15368969152911000,12,6,1470.9199999999996,1,1,1,111
20941,15368974087198500,2,3,229.0,1,2,2,122
20942,15368976884235000,9,4,251.0,1,1,2,112
20943,15368977568788800,5,3,183.0,1,2,2,122
20944,15368986458211700,12,8,782.0,1,1,1,111
20946,15369000811891600,11,5,1057.8,1,1,1,111
20949,15369033219946000,12,6,844.0,1,1,1,111
20950,15369059108023300,4,4,335.46,1,1,1,111
20953,15369138156383800,12,6,991.38,1,1,1,111
20955,15369216252789800,12,3,256.0,1,2,2,122
20957,15369241570178400,11,7,754.43,1,1,1,111
20959,15369249742435400,12,8,1011.0,1,1,1,111
20964,15369263532457000,12,5,400.4500000000001,1,1,1,111
20965,15369274271526100,12,5,840.0,1,1,1,111
20966,15369279548753900,12,3,551.52,1,2,1,121
20967,15369280884086500,12,4,335.0,1,1,1,111
20973,15369287876853900,12,3,375.85,1,2,1,121
20975,15369288387981100,12,3,437.0,1,2,1,121
20976,15369292572777600,12,3,312.9000000000001,1,2,2,122
20977,15369296661468800,12,6,840.94,1,1,1,111
20979,15369302042332700,3,5,400.55,1,1,1,111
20981,15369305241013700,12,8,264.0,1,1,2,112
20984,15369311014291000,12,5,396.95,1,1,1,111
20985,15369317135542700,12,3,327.0,1,2,2,122
20989,15369321736314900,12,6,613.0,1,1,1,111
20992,15369337424624900,12,11,1295.0,1,1,1,111
20994,15369338787924100,12,5,534.0,1,1,1,111
20998,15369343635381000,12,3,364.23,1,2,1,121
20999,15369343768148000,12,4,426.0,1,1,1,111
21004,15369352143705600,3,3,261.0,1,2,2,122
21005,15369360972276900,12,5,550.5500000000002,1,1,1,111
21006,15369361521276200,12,5,724.3000000000002,1,1,1,111
21007,15369366995165400,12,4,486.0,1,1,1,111
21010,15369377135723600,12,3,307.0,1,2,2,122
21013,15369385195649700,12,5,364.0,1,1,1,111
21016,15369386220244000,3,3,376.21,1,2,1,121
21020,15369392519147700,12,4,266.0,1,1,2,112
21023,15369395297976800,12,16,3112.640000000001,1,1,1,111
21027,15369398634109700,12,3,347.78,1,2,1,121
21028,15369402693258200,12,5,633.6,1,1,1,111
21030,15369403423582300,12,3,297.0,1,2,2,122
21032,15369405239944100,12,5,367.0,1,1,1,111
21034,15369415016328500,12,3,342.35,1,2,1,121
21040,15369421235138500,12,4,347.48,1,1,1,111
21041,15369422297068700,12,3,397.0,1,2,1,121
21047,15369433713212900,12,3,287.0,1,2,2,122
21050,15369436814834400,12,5,424.1,1,1,1,111
21051,15369437177592900,12,3,369.93,1,2,1,121
21054,15369440017589900,12,3,457.0,1,2,1,121
21059,15369450660662500,12,3,276.0,1,2,2,122
21061,15369454504686000,1,4,426.0,1,1,1,111
21063,15369461019805800,12,3,357.49,1,2,1,121
21066,15369468281603000,12,3,342.0,1,2,1,121
21076,15369483604213400,12,3,543.01,1,2,1,121
21078,15369490318658500,12,3,382.0,1,2,1,121
21079,15369490876298800,12,3,292.0,1,2,2,122
21080,15369492187887000,7,3,352.54,1,2,1,121
21084,15369499737855300,12,5,596.85,1,1,1,111
21085,15369504905166800,12,15,1300.0,1,1,1,111
21099,15369562022502600,12,3,287.0,1,2,2,122
21105,15369575203395500,12,8,970.0,1,1,1,111
21107,15369587563366400,12,3,328.03,1,2,1,121
21110,15369590351672500,12,3,461.62,1,2,1,121
21115,15369596503173400,12,19,2939.89,1,1,1,111
21117,15369597525589300,12,4,542.0,1,1,1,111
21126,15369614455322400,12,4,296.0,1,1,2,112
21131,15369632029059500,12,5,807.25,1,1,1,111
21141,15369653841072500,4,8,1162.6,1,1,1,111
21144,15369658415008900,12,3,255.47000000000003,1,2,2,122
21145,15369659881267000,12,3,370.75,1,2,1,121
21151,15369679012149500,2,7,477.36,1,1,1,111
21154,15369682369022500,12,5,654.0,1,1,1,111
21158,15369688112796100,12,4,375.0,1,1,1,111
21161,15369700596552700,11,7,1084.0600000000004,1,1,1,111
21167,15369716495836900,11,3,311.3300000000001,1,2,2,122
21169,15369722031053300,11,3,462.0,1,2,1,121
21175,15369735101987700,11,3,332.99,1,2,1,121
21179,15369742066321100,11,3,317.0,1,2,2,122
21182,15369753542915300,11,5,571.1,1,1,1,111
21184,15369757218141400,11,9,1121.16,1,1,1,111
21187,15369769464005900,9,4,365.0,1,1,1,111
21192,15369781993027700,11,6,813.7600000000001,1,1,1,111
21199,15369814468291900,11,5,394.9500000000001,1,1,1,111
21200,15369816383891800,11,5,485.9,1,1,1,111
21202,15369818803099700,11,3,347.6,1,2,1,121
21204,15369825100235200,11,6,654.0,1,1,1,111
21207,15369844506457700,8,5,1023.4,1,1,1,111
21211,15370097382016200,4,3,247.0,1,2,2,122
21213,15370188379071800,2,8,396.0,1,1,1,111
21214,15370194721417800,4,5,355.55,1,1,1,111
21217,15370205825188100,3,5,288.25,1,1,2,112
21220,15370318502585000,3,4,367.28,1,1,1,111
21222,15370329995687500,3,4,699.86,1,1,1,111
21226,15370367567196800,3,5,327.0,1,1,2,112
21227,15370396454081200,8,3,367.0,1,2,1,121
21229,15370417857673900,11,3,347.0,1,2,1,121
21232,15370456521047200,3,5,315.0,1,1,2,112
21234,15370505360282200,5,7,1055.2,1,1,1,111
21238,15370604924407200,4,7,315.0,1,1,2,112
21241,15370637015817600,4,3,189.0,1,2,2,122
21243,15370650997489600,5,7,518.0,1,1,1,111
21248,15370719599737600,4,3,213.35,1,2,2,122
21257,15371077466305100,9,4,527.0,1,1,1,111
21259,15371097928806100,1,3,222.61,1,2,2,122
21273,15371248611265800,1,5,343.0,1,1,1,111
21276,15371284748406300,1,9,1186.2199999999998,1,1,1,111
21287,15371418573676300,3,4,546.0,1,1,1,111
21290,15371446026095200,3,6,1023.4,1,1,1,111
21292,15371464838385200,7,3,447.0,1,2,1,121
21293,15371474640502300,0,5,664.8499999999998,1,1,1,111
21296,15371512463317300,2,5,336.99999999999994,1,1,1,111
21301,15371526814225700,2,3,504.78,1,2,1,121
21310,15371643276327400,3,6,311.45,1,1,2,112
21313,15371734553383600,2,4,196.0,1,1,2,112
21315,15371783474892900,2,6,664.0,1,1,1,111
21318,15371892534744000,9,5,455.0,1,1,1,111
21319,15371924953665600,2,5,367.0,1,1,1,111
21327,15371993396069500,9,3,397.0,1,2,1,121
21328,15371996179675300,9,5,695.0,1,1,1,111
21329,15371996680322300,9,7,1674.11,1,1,1,111
21341,15372017502047600,7,3,615.49,1,2,1,121
21346,15372028653856000,3,5,546.0,1,1,1,111
21349,15372035476463100,9,3,215.27,1,2,2,122
21353,15372046725477700,3,3,612.5600000000002,1,2,1,121
21356,15372052533408700,9,3,295.3400000000001,1,2,2,122
21360,15372058297528600,3,3,207.0,1,2,2,122
21368,15372071343501500,9,4,336.0,1,1,1,111
21369,15372071570054100,9,3,257.0,1,2,2,122
21371,15372078790241000,9,3,426.47,1,2,1,121
21376,15372098732061500,7,3,296.0,1,2,2,122
21377,15372105551933100,7,3,215.85,1,2,2,122
21378,15372106972005100,2,5,398.88000000000005,1,1,1,111
21379,15372107080483100,9,4,572.72,1,1,1,111
21380,15372110771651900,9,4,686.0,1,1,1,111
21381,15372118426903100,9,3,366.0,1,2,1,121
21383,15372118774315100,9,4,296.0,1,1,2,112
21384,15372118822098000,5,13,1232.72,1,1,1,111
21385,15372120732771000,9,4,545.0,1,1,1,111
21386,15372121643252800,9,3,203.0,1,2,2,122
21390,15372132601408200,2,3,246.0,1,2,2,122
21391,15372136261461200,6,7,843.0,1,1,1,111
21393,15372147932038500,9,3,349.0,1,2,1,121
21394,15372148916386800,8,8,1952.8,1,1,1,111
21397,15372152305499800,9,3,226.0,1,2,2,122
21399,15372160212157500,5,4,241.0,1,1,2,112
21400,15372161590875700,9,4,442.32,1,1,1,111
21403,15372168715808800,9,4,460.11,1,1,1,111
21404,15372173403212600,9,4,455.4,1,1,1,111
21405,15372174074117500,9,16,1385.0,1,1,1,111
21406,15372174819751500,9,3,312.0,1,2,2,122
21408,15372180995305300,9,3,406.0,1,2,1,121
21413,15372186929059500,9,3,373.23,1,2,1,121
21415,15372191074128700,9,4,530.0,1,1,1,111
21416,15372194112225900,9,5,534.0,1,1,1,111
21417,15372198524926700,9,3,336.0,1,2,1,121
21424,15372216079277100,9,3,300.63,1,2,2,122
21433,15372248791062800,5,3,282.0,1,2,2,122
21441,15372329246585500,5,7,812.0,1,1,1,111
21442,15372329950832100,4,5,539.14,1,1,1,111
21444,15372338756175000,8,6,694.0,1,1,1,111
21447,15372348066109600,3,16,1166.0,1,1,1,111
21449,15372354583738700,1,3,347.0,1,2,1,121
21461,15372464656296200,5,3,667.0,1,2,1,121
21463,15372474815974900,4,5,358.72,1,1,1,111
21468,15372576898149000,7,5,862.4,1,1,1,111
21473,15372717168504200,8,4,286.0,1,1,2,112
21476,15372733949115800,8,3,350.0,1,2,1,121
21482,15372751503246200,8,9,1573.7800000000002,1,1,1,111
21486,15372764393122200,8,4,434.2,1,1,1,111
21489,15372775412747100,8,11,1853.32,1,1,1,111
21491,15372781190471100,8,8,469.0,1,1,1,111
21494,15372790202064800,8,4,486.0,1,1,1,111
21498,15372798987213800,8,4,526.0,1,1,1,111
21499,15372800175644300,6,4,376.0,1,1,1,111
21507,15372829313506900,8,3,292.0,1,2,2,122
21508,15372830583015300,7,30,2620.0,1,1,1,111
21517,15372854233618500,8,4,426.0,1,1,1,111
21518,15372856264482700,8,4,342.24,1,1,1,111
21519,15372858814711100,8,5,493.0,1,1,1,111
21525,15372870491605600,8,5,443.0,1,1,1,111
21528,15372876359224600,8,3,198.91,1,2,2,122
21537,15372896178022000,8,3,323.0,1,2,2,122
21544,15372913809801800,8,3,327.0,1,2,2,122
21549,15372924032842900,3,4,406.0,1,1,1,111
21556,15372956353809200,8,3,226.0,1,2,2,122
21557,15372956398645300,8,5,685.0,1,1,1,111
21570,15372985245692300,8,5,368.0,1,1,1,111
21573,15372995061105100,3,3,322.41,1,2,2,122
21578,15372999466523700,3,5,526.0,1,1,1,111
21590,15373059647205800,7,4,516.0,1,1,1,111
